,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
826,Introduction to Corporate Finance,University of Pennsylvania,Course,160k,Business,business_and_management,1-4 Weeks,4.6,Mixed
827,Social Media Management,Facebook,Course,58k,Business,business_and_management,1-4 Weeks,4.9,Beginner
828,Financial Acumen for Non-Financial Managers,University of Pennsylvania,Course,21k,Business,business_and_management,1-4 Weeks,4.5,Beginner
829,Capstone: Applying Project Management in the Real World,Google,Course,33k,Business,business_and_management,1-4 Weeks,4.8,Beginner
830,Assets in Accounting,Intuit,Course,5k,Business,business_and_management,1-4 Weeks,4,Beginner
831,The Business of Product Management I,Advancing Women in Tech,Course,12k,Business,business_and_management,1-4 Weeks,4.6,Beginner
832,Introduction to Spreadsheets and Models,University of Pennsylvania,Course,93k,Business,business_and_management,1-4 Weeks,4.2,Mixed
833,Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,Course,110k,Business,business_and_management,1-4 Weeks,4.4,Intermediate
834,Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,Course,37k,Business,business_and_management,1-4 Weeks,4.8,Beginner
835,Reporting extra-financier et stratégie RSE,ESSEC Business School,Course,8.9k,Business,business_and_management,1-4 Weeks,4.7,Beginner
836,Marketing Analytics Foundation,Facebook,Course,3.9k,Business,business_and_management,1-4 Weeks,4.8,Beginner
837,Decentralized Finance (DeFi) Primitives,Duke University,Course,0,Business,business_and_management,1-4 Weeks,5,Intermediate
838,Artificial Intelligence in Marketing,University of Virginia,Course,7.6k,Business,business_and_management,1-4 Weeks,4.6,Beginner
839,Behavioral Finance,Duke University,Course,93k,Business,business_and_management,1-4 Weeks,4.4,Mixed
840,What is Compliance?,University of Pennsylvania,Course,16k,Business,business_and_management,1-4 Weeks,4.8,Mixed
841,Supply Chain Logistics,Rutgers the State University of New Jersey,Course,170k,Business,business_and_management,1-4 Weeks,4.7,Beginner
842,Six Sigma Principles,University System of Georgia,Course,97k,Business,business_and_management,1-4 Weeks,4.7,Beginner
843,Introduction to Google SEO,"University of California, Davis",Course,210k,Business,business_and_management,1-4 Weeks,4.6,Beginner
844,Corporate Strategy,University of London,Course,25k,Business,business_and_management,1-4 Weeks,4.8,Beginner
845,Foundations of Business Strategy,University of Virginia,Course,100k,Business,business_and_management,1-4 Weeks,4.8,Beginner
846,Accounting: Principles of Financial Accounting,IESE Business School,Course,92k,Business,business_and_management,1-4 Weeks,4.8,Beginner
847,The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,Course,26k,Business,business_and_management,1-4 Weeks,4.8,Beginner
848,Leading Diverse Teams & Organizations,University of Michigan,Course,5.6k,Business,business_and_management,1-4 Weeks,4.7,Mixed
849,Designing the Future of Work,UNSW Sydney (The University of New South Wales),Course,13k,Business,business_and_management,1-4 Weeks,4.7,Beginner
850,Diversity and Inclusion for HR Professionals,"University of California, Irvine",Course,4.9k,Business,business_and_management,1-4 Weeks,4.7,Beginner
851,Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,Course,41k,Business,business_and_management,1-4 Weeks,4.8,Mixed
852,People Analytics,University of Pennsylvania,Course,110k,Business,business_and_management,1-4 Weeks,4.5,Mixed
853,Introduction to Operations Management,University of Pennsylvania,Course,110k,Business,business_and_management,1-4 Weeks,4.4,Mixed
854,Preparing to Manage Human Resources,University of Minnesota,Course,160k,Business,business_and_management,1-4 Weeks,4.8,Mixed
855,Inspiring and Motivating Individuals,University of Michigan,Course,160k,Business,business_and_management,1-4 Weeks,4.8,Mixed
856,Blockchain and Cryptocurrency Explained,University of Michigan,Course,24k,Business,business_and_management,1-4 Weeks,4.7,Beginner
857,The Future of Payment Technologies,University of Michigan,Course,25k,Business,business_and_management,1-4 Weeks,4.7,Beginner
858,"Lending, Crowdfunding, and Modern Investing",University of Pennsylvania,Course,9.8k,Business,business_and_management,1-4 Weeks,4.6,Beginner
859,Sales and CRM Overview,Salesforce,Course,7.3k,Business,business_and_management,1-4 Weeks,4.6,Beginner
860,Design and Make Infographics (Project-Centered Course),Michigan State University,Course,140k,Business,business_and_management,1-4 Weeks,4.7,Mixed
861,Real-World Cloud PM 1 of 3: Cloud Business and Technology,Advancing Women in Tech,Course,0,Business,business_and_management,1-4 Weeks,4.6,Beginner
862,Fashion Systems,"Parsons School of Design, The New School",Course,2.5k,Business,business_and_management,1-4 Weeks,4.7,Intermediate
863,Building Your Leadership Skills,HEC Paris,Course,96k,Business,business_and_management,1-4 Weeks,4.6,Mixed
864,Operations Analytics,University of Pennsylvania,Course,97k,Business,business_and_management,1-4 Weeks,4.7,Mixed
865,Liabilities and Equity in Accounting,Intuit,Course,2.8k,Business,business_and_management,1-4 Weeks,3.6,Beginner
866,Privacy Law and Data Protection,University of Pennsylvania,Course,13k,Business,business_and_management,1-4 Weeks,4.8,Mixed
867,Decentralized Finance (DeFi) Deep Dive,Duke University,Course,0,Business,business_and_management,1-4 Weeks,4.9,Intermediate
868,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,Course,43k,Business,business_and_management,1-4 Weeks,4.6,Intermediate
869,Fashion Design,"Parsons School of Design, The New School",Course,3.9k,Business,business_and_management,1-4 Weeks,4.7,Intermediate
870,Advanced Search Engine Optimization Strategies,"University of California, Davis",Course,38k,Business,business_and_management,1-4 Weeks,4.5,Intermediate
871,Cost and Economics in Pricing Strategy,University of Virginia,Course,22k,Business,business_and_management,1-4 Weeks,4.8,Beginner
872,Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,Course,34k,Business,business_and_management,1-4 Weeks,4.8,Beginner
873,Évaluation & Mesure d'Impact Social,ESSEC Business School,Course,4.4k,Business,business_and_management,1-4 Weeks,4.6,Beginner
874,Supply Chain Excellence,Rutgers the State University of New Jersey,Course,7.6k,Business,business_and_management,1-4 Weeks,4.7,Intermediate
875,Business Sustainability in the Circular Economy,University of London,Course,0,Business,business_and_management,1-4 Weeks,4.8,Beginner
876,Communication Strategies for a Virtual Age,University of Toronto,Course,140k,Business,business_and_management,1-4 Weeks,4.8,Beginner
877,Transacting on the Blockchain,INSEAD,Course,22k,Business,business_and_management,1-4 Weeks,4.8,Intermediate
878,"Application of AI, InsurTech, and Real Estate Technology",University of Pennsylvania,Course,11k,Business,business_and_management,1-4 Weeks,4.6,Mixed
879,Accounting Analytics,University of Pennsylvania,Course,94k,Business,business_and_management,1-4 Weeks,4.5,Mixed
880,Financial Statement Analysis,Intuit,Course,3.2k,Business,business_and_management,1-4 Weeks,4.2,Beginner
881,High Stakes Leadership: Leading in Times of Crisis,University of Michigan,Course,17k,Business,business_and_management,1-4 Weeks,4.7,Mixed
882,Customer Segmentation and Prospecting,Northwestern University,Course,40k,Business,business_and_management,1-4 Weeks,4.8,Beginner
883,Entreprise et changement climatique,ESSEC Business School,Course,2.3k,Business,business_and_management,1-4 Weeks,4.7,Beginner
884,L'excellence opérationnelle en pratique,ESSEC Business School,Course,16k,Business,business_and_management,1-4 Weeks,4.8,Beginner
885,Effective Business Presentations with Powerpoint,PwC,Course,78k,Business,business_and_management,1-4 Weeks,4.6,Beginner
886,Measure and Optimize Social Media Marketing Campaigns,Facebook,Course,16k,Business,business_and_management,1-4 Weeks,4.9,Beginner
887,La transformation numérique,BCG,Course,0,Business,business_and_management,1-4 Weeks,0,Beginner
888,Effective Compliance Programs,University of Pennsylvania,Course,8.8k,Business,business_and_management,1-4 Weeks,4.9,Mixed
889,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,Course,110k,Business,business_and_management,1-4 Weeks,4.6,Beginner
890,Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,Course,47k,Business,business_and_management,1-4 Weeks,4.8,Mixed
891,Groundwork for Success in Sales Development,Salesforce,Course,14k,Business,business_and_management,1-4 Weeks,4.6,Beginner
892,Research Proposal: Initiating Research,"University of California, Davis",Course,44k,Business,business_and_management,1-4 Weeks,4.6,Intermediate
893,L'innovation managériale en pratique,ESSEC Business School,Course,6.3k,Business,business_and_management,1-4 Weeks,4.6,Beginner
894,Business Writing,University of Colorado Boulder,Course,120k,Business,business_and_management,1-4 Weeks,4.8,Beginner
