,course_title,course_organization,course_Certificate_type,course_students_enrolled,coursera_subject,FL_category,duration,course_rating,course_difficulty
204,Term-Structure and Credit Derivatives,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
205,Mercados financeiros,Yale University,Course,3.4k,Business,business_and_management,1-3 Months,5,Beginner
206,Computational Methods in Pricing and Model Calibration,Columbia University,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
207,Statistics for Marketing,Facebook,Course,0,Business,business_and_management,1-3 Months,0,Beginner
208,"Основы SMM: тренды, аудитории, платформы",National Research Tomsk State University,Course,20k,Business,business_and_management,1-3 Months,4.4,Beginner
209,Анализ данных в Google Таблицах (Google Spreadsheets),National Research Tomsk State University,Course,5.9k,Business,business_and_management,1-3 Months,4.4,Beginner
210,Storytelling et influence : Communiquer pour convaincre,Macquarie University,Course,0,Business,business_and_management,1-3 Months,4.7,Mixed
211,Blockchain Opportunity Analysis,INSEAD,Course,15k,Business,business_and_management,1-3 Months,4.6,Intermediate
212,"Making Successful Decisions through the Strategy, Law & Ethics Model",University of Michigan,Course,27k,Business,business_and_management,1-3 Months,4.8,Beginner
213,Bridging the Gap between Strategy Design and Delivery,Brightline Initiative,Course,23k,Business,business_and_management,1-3 Months,4.8,Intermediate
214,Criação de Startups: Como desenvolver negócios inovadores,Universidade de São Paulo,Course,38k,Business,business_and_management,1-3 Months,4.8,Beginner
215,Supply Chain Management Strategy,Rutgers the State University of New Jersey,Course,19k,Business,business_and_management,1-3 Months,4.8,Mixed
216,"Engineering Project Management: Scope, Time and Cost Management",Rice University,Course,37k,Business,business_and_management,1-3 Months,4.8,Beginner
217,Wharton Business and Financial Modeling Capstone,University of Pennsylvania,Course,6.4k,Business,business_and_management,1-3 Months,4.6,Mixed
218,Fundamentals of Technology Sales,"University of Maryland, College Park",Course,0,Business,business_and_management,1-3 Months,0,Beginner
219,International Business I,University of New Mexico,Course,44k,Business,business_and_management,1-3 Months,4.7,Mixed
220,Management of Urban Infrastructures – part 1,École Polytechnique Fédérale de Lausanne,Course,25k,Business,business_and_management,1-3 Months,4.7,Mixed
221,Leading Innovation in Arts and Culture,Vanderbilt University,Course,15k,Business,business_and_management,1-3 Months,4.4,Mixed
222,Pricing Options with Mathematical Models,Caltech,Course,0,Business,business_and_management,1-3 Months,0,Intermediate
